Customer ID,Subscription Type,Device Type,Device Make/Model,Address,City,State,Zipcode,Days Before Perks,Days After Perks,Total Data Usage (GB),Usage Days,Peak Hours,Received Regular Perks,Perks Description,Content Type,Content Title,Content URL,PlusPlayStatus,StreamingHours,DataUsageGB,Offer_DiscountedUpgrade,Offer_BundleSavings,Offer_FamilyPlanPerk,Offer_DataBoost,Offer_ExclusiveContent,Offer_LimitedTime,Offer_LoyaltyRewards,Offer_GiftingOpportunity,Offer_StudentDiscount,Offer_WeekendStreamingPass
379345,Premium,Mobile,Google Pixel 7,8132 Main St,Houston,AZ,27289,18,12,23.15,"['Thursday', 'Friday', 'Saturday', 'Tuesday']","[23, 10]",False,,Series,Stranger Things,https://www.netflix.com/title/stranger-things,0,97,447.93,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
311666,Standard,Setup Box,Verizon VMS1100,3491 Main St,Chicago,AZ,68988,13,5,98.77,"['Tuesday', 'Monday', 'Wednesday', 'Sunday', 'Friday', 'Saturday', 'Thursday']","[12, 13]",True,Free HD Streaming Upgrade,Movie,6 Underground,https://www.netflix.com/title/6-underground,1,97,314.56,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Eligible for Free Netflix Standard on Family Plan,Eligible for Data Boost for HD Streaming,Eligible for Exclusive Netflix Content Access,Not Eligible,Eligible for 50% Off for 6 Months,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
820196,Standard with Ads,Mobile,Samsung Galaxy S23,4299 Main St,Houston,AZ,79911,27,22,77.21,"['Tuesday', 'Thursday', 'Sunday', 'Saturday', 'Wednesday']","[6, 2, 23]",False,,Series,The Umbrella Academy,https://www.netflix.com/title/the-umbrella-academy,1,63,427.3,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Not Eligible,Eligible for Data Boost for HD Streaming,Eligible for Exclusive Netflix Content Access,Eligible for First Month Free on Premium,Eligible for 50% Off for 6 Months,Eligible to Gift 3-Month Netflix Subscription,Eligible for 30% Student Discount,Eligible for Unlimited Weekend Streaming
851890,Standard,Wi-Fi Router,Verizon Quantum Gateway,1321 Main St,Chicago,NY,11850,29,23,15.28,"['Saturday', 'Sunday', 'Monday', 'Thursday', 'Friday', 'Tuesday']","[5, 9, 4]",True,Free HD Streaming Upgrade,Live Event,The Oscars,https://www.netflix.com/title/the-oscars,0,39,183.51,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
100942,Premium,Wi-Fi Router,Verizon 5G Home Router,5745 Main St,Los Angeles,CA,49509,20,2,87.79,"['Thursday', 'Tuesday', 'Friday', 'Monday', 'Sunday', 'Wednesday', 'Saturday']","[19, 2, 14]",True,Priority Customer Support,Series,Ozark,https://www.netflix.com/title/ozark,1,87,337.56,Not Eligible,Eligible for $10 Bundle Savings,Not Eligible,Eligible for Data Boost for HD Streaming,Eligible for Exclusive Netflix Content Access,Not Eligible,Eligible for 50% Off for 6 Months,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
304237,Standard,Setup Box,Verizon VMS4100,5166 Main St,Los Angeles,IL,96767,27,2,13.01,"['Thursday', 'Sunday']","[6, 15, 5, 7]",False,,Live Event,World Cup Final,https://www.netflix.com/title/world-cup-final,0,32,300.01,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
824329,Standard,Setup Box,Verizon VMS4100,6222 Main St,Chicago,NY,48952,19,17,61.76,"['Thursday', 'Friday', 'Sunday', 'Wednesday', 'Tuesday', 'Monday', 'Saturday']","[0, 20, 17]",False,,Live Event,Netflix Global Fan Event: TUDUM,https://www.netflix.com/title/netflix-global-fan-event%3A-tudum,0,19,142.66,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
997760,Standard with Ads,Mobile,iPhone 14,1449 Main St,Los Angeles,NY,57321,11,9,40.06,"['Tuesday', 'Saturday', 'Friday', 'Monday', 'Thursday', 'Wednesday', 'Sunday']",[17],False,,Series,Narcos,https://www.netflix.com/title/narcos,1,5,115.26,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Not Eligible,Not Eligible,Eligible for Exclusive Netflix Content Access,Eligible for First Month Free on Premium,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Eligible for 30% Student Discount,Not Eligible
829948,Standard,Setup Box,Verizon VMS1100,1219 Main St,Chicago,CA,61843,21,7,31.81,"['Friday', 'Monday', 'Sunday']","[11, 18, 9, 10]",False,,Series,The Witcher,https://www.netflix.com/title/the-witcher,0,16,363.43,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
368845,Premium,Mobile,iPhone 14,3651 Main St,Los Angeles,TX,35761,23,19,22.7,"['Monday', 'Friday']","[15, 9, 13, 16]",True,Free HD Streaming Upgrade,Live Event,World Cup Final,https://www.netflix.com/title/world-cup-final,1,26,188.66,Not Eligible,Eligible for $10 Bundle Savings,Not Eligible,Not Eligible,Eligible for Exclusive Netflix Content Access,Not Eligible,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
930575,Standard with Ads,Mobile,iPhone 14,6690 Main St,Los Angeles,CA,82415,6,18,71.53,['Wednesday'],"[20, 22]",False,,Live Event,Netflix Global Fan Event: TUDUM,https://www.netflix.com/title/netflix-global-fan-event%3A-tudum,1,20,216.24,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Not Eligible,Not Eligible,Eligible for Exclusive Netflix Content Access,Eligible for First Month Free on Premium,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Eligible for 30% Student Discount,Not Eligible
571389,Standard with Ads,Wi-Fi Router,Verizon 5G Home Router,8421 Main St,Los Angeles,TX,64893,15,21,52.11,"['Wednesday', 'Tuesday']","[22, 1, 15, 23]",True,Discounted Subscription,Movie,Don't Look Up,https://www.netflix.com/title/don%27t-look-up,1,58,253.95,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Not Eligible,Eligible for Data Boost for HD Streaming,Eligible for Exclusive Netflix Content Access,Eligible for First Month Free on Premium,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Eligible for 30% Student Discount,Eligible for Unlimited Weekend Streaming
787868,Premium,Wi-Fi Router,Verizon 5G Home Router,5707 Main St,New York,IL,40769,21,24,23.26,"['Friday', 'Monday']","[12, 20, 23, 22]",True,Discounted Subscription,Series,Money Heist,https://www.netflix.com/title/money-heist,0,78,298.41,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
591144,Standard,Mobile,iPhone 14,7903 Main St,Phoenix,CA,98316,22,9,76.75,['Tuesday'],"[15, 13, 23, 2]",False,,Live Event,Golden Globe Awards,https://www.netflix.com/title/golden-globe-awards,1,34,443.72,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Eligible for Free Netflix Standard on Family Plan,Not Eligible,Eligible for Exclusive Netflix Content Access,Not Eligible,Eligible for 50% Off for 6 Months,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
649545,Premium,Setup Box,Verizon VMS1100,4170 Main St,New York,IL,49770,11,5,79.2,"['Wednesday', 'Tuesday', 'Monday', 'Saturday', 'Sunday', 'Friday']","[8, 18, 1, 2]",False,,Movie,Marriage Story,https://www.netflix.com/title/marriage-story,1,23,239.87,Not Eligible,Eligible for $10 Bundle Savings,Not Eligible,Not Eligible,Eligible for Exclusive Netflix Content Access,Not Eligible,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
472112,Standard,Mobile,iPhone 14,5580 Main St,Los Angeles,NY,73322,1,15,94.37,"['Friday', 'Sunday']","[5, 18, 9, 15]",True,Free HD Streaming Upgrade,Movie,Bird Box,https://www.netflix.com/title/bird-box,0,90,260.46,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
600264,Standard with Ads,Wi-Fi Router,Verizon 5G Home Router,5395 Main St,Houston,NY,52397,10,24,42.35,"['Friday', 'Sunday', 'Saturday', 'Monday', 'Tuesday', 'Thursday']","[9, 6]",False,,Movie,Marriage Story,https://www.netflix.com/title/marriage-story,0,22,417.99,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
492922,Premium,Wi-Fi Router,Verizon 5G Home Router,4458 Main St,New York,NY,92950,3,6,20.16,"['Sunday', 'Tuesday', 'Thursday', 'Wednesday', 'Friday', 'Monday']","[7, 15, 13]",True,Discounted Subscription,Live Event,World Cup Final,https://www.netflix.com/title/world-cup-final,0,11,361.23,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
435048,Premium,Setup Box,Verizon VMS1100,6559 Main St,New York,IL,56722,17,21,83.25,"['Monday', 'Friday', 'Sunday']","[0, 20, 18, 2]",False,,Live Event,New Year's Eve Countdown,https://www.netflix.com/title/new-year%27s-eve-countdown,1,95,497.91,Not Eligible,Eligible for $10 Bundle Savings,Not Eligible,Eligible for Data Boost for HD Streaming,Eligible for Exclusive Netflix Content Access,Not Eligible,Eligible for 50% Off for 6 Months,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
842447,Standard,Mobile,iPhone 14,4893 Main St,Chicago,TX,10322,24,11,13.2,"['Saturday', 'Friday', 'Tuesday', 'Sunday', 'Wednesday', 'Thursday']","[0, 1]",True,Discounted Subscription,Series,Bridgerton,https://www.netflix.com/title/bridgerton,0,38,445.99,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
566621,Standard,Setup Box,Verizon VMS4100,8406 Main St,Phoenix,IL,33914,23,1,35.2,"['Thursday', 'Sunday', 'Tuesday', 'Friday', 'Saturday', 'Monday']","[18, 4, 7, 6]",False,,Live Event,The Oscars,https://www.netflix.com/title/the-oscars,1,94,204.38,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Eligible for Free Netflix Standard on Family Plan,Eligible for Data Boost for HD Streaming,Eligible for Exclusive Netflix Content Access,Not Eligible,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
909349,Premium,Wi-Fi Router,Verizon 5G Home Router,4642 Main St,New York,CA,44699,16,3,42.42,"['Friday', 'Saturday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday', 'Monday']","[10, 1, 14]",False,,Live Event,New Year's Eve Countdown,https://www.netflix.com/title/new-year%27s-eve-countdown,1,57,274.36,Not Eligible,Eligible for $10 Bundle Savings,Not Eligible,Eligible for Data Boost for HD Streaming,Eligible for Exclusive Netflix Content Access,Not Eligible,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
655899,Premium,Setup Box,Verizon VMS1100,9240 Main St,Phoenix,NY,46841,10,6,17.14,"['Thursday', 'Monday', 'Sunday', 'Wednesday', 'Tuesday', 'Friday']","[8, 11]",True,Bundled Streaming Services,Movie,6 Underground,https://www.netflix.com/title/6-underground,1,11,167.41,Not Eligible,Eligible for $10 Bundle Savings,Not Eligible,Not Eligible,Eligible for Exclusive Netflix Content Access,Not Eligible,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Not Eligible
869507,Standard with Ads,Wi-Fi Router,Verizon 5G Home Router,4125 Main St,New York,NY,81291,13,6,70.25,"['Thursday', 'Tuesday', 'Saturday', 'Sunday', 'Wednesday']","[12, 15]",False,,Live Event,Super Bowl Halftime Show,https://www.netflix.com/title/super-bowl-halftime-show,0,47,161.53,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
437139,Standard,Setup Box,Verizon VMS1100,1812 Main St,Phoenix,CA,84629,24,27,37.79,"['Thursday', 'Wednesday', 'Sunday', 'Monday', 'Saturday']","[6, 11, 9]",False,,Movie,The Old Guard,https://www.netflix.com/title/the-old-guard,1,24,249.87,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Eligible for Free Netflix Standard on Family Plan,Not Eligible,Eligible for Exclusive Netflix Content Access,Not Eligible,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
786209,Standard with Ads,Wi-Fi Router,Verizon Quantum Gateway,8081 Main St,Los Angeles,TX,54411,12,4,22.85,['Thursday'],"[12, 4, 11, 3]",True,Priority Customer Support,Series,Bridgerton,https://www.netflix.com/title/bridgerton,0,68,319.19,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
367104,Premium,Setup Box,Verizon VMS4100,7241 Main St,New York,AZ,47896,10,26,89.14,['Monday'],"[15, 7, 1]",False,,Live Event,Netflix Global Fan Event: TUDUM,https://www.netflix.com/title/netflix-global-fan-event%3A-tudum,1,97,248.92,Not Eligible,Eligible for $10 Bundle Savings,Not Eligible,Eligible for Data Boost for HD Streaming,Eligible for Exclusive Netflix Content Access,Not Eligible,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Eligible for Unlimited Weekend Streaming
674093,Standard with Ads,Setup Box,Verizon VMS1100,1295 Main St,New York,TX,55442,5,19,30.97,"['Wednesday', 'Tuesday', 'Monday', 'Friday', 'Saturday', 'Thursday', 'Sunday']","[8, 7]",True,Discounted Subscription,Movie,Marriage Story,https://www.netflix.com/title/marriage-story,0,97,482.27,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
543975,Standard with Ads,Wi-Fi Router,Verizon 5G Home Router,4144 Main St,Chicago,IL,95219,13,10,86.33,"['Friday', 'Sunday', 'Thursday', 'Tuesday', 'Monday']","[1, 14, 12, 8]",True,Unlimited Data Streaming,Live Event,World Cup Final,https://www.netflix.com/title/world-cup-final,1,44,333.78,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Not Eligible,Not Eligible,Eligible for Exclusive Netflix Content Access,Eligible for First Month Free on Premium,Eligible for 50% Off for 6 Months,Eligible to Gift 3-Month Netflix Subscription,Eligible for 30% Student Discount,Eligible for Unlimited Weekend Streaming
950071,Standard with Ads,Mobile,iPhone 14,2495 Main St,Los Angeles,IL,32224,9,23,64.55,['Monday'],"[5, 0, 22]",False,,Series,Black Mirror,https://www.netflix.com/title/black-mirror,0,49,399.92,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
576896,Standard with Ads,Mobile,Samsung Galaxy S23,6747 Main St,Phoenix,NY,36400,9,29,87.45,"['Tuesday', 'Wednesday', 'Sunday', 'Thursday', 'Monday', 'Friday', 'Saturday']","[7, 14, 16]",True,Bundled Streaming Services,Series,Black Mirror,https://www.netflix.com/title/black-mirror,1,10,124.61,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Not Eligible,Not Eligible,Eligible for Exclusive Netflix Content Access,Eligible for First Month Free on Premium,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Eligible for 30% Student Discount,Not Eligible
392741,Standard with Ads,Mobile,iPhone 14,7280 Main St,Chicago,TX,79084,11,18,71.46,"['Wednesday', 'Sunday', 'Tuesday', 'Saturday', 'Monday', 'Thursday', 'Friday']","[19, 3, 15, 11]",False,,Movie,Army of the Dead,https://www.netflix.com/title/army-of-the-dead,0,56,332.19,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
999833,Standard,Wi-Fi Router,Verizon 5G Home Router,1491 Main St,New York,CA,43596,13,28,88.66,"['Thursday', 'Tuesday', 'Wednesday', 'Monday', 'Friday', 'Sunday', 'Saturday']","[12, 5]",True,Bundled Streaming Services,Live Event,Concert Live Stream: BTS,https://www.netflix.com/title/concert-live-stream%3A-bts,0,84,460.54,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
563192,Standard,Setup Box,Verizon VMS4100,1330 Main St,Chicago,CA,73545,28,18,43.48,"['Friday', 'Wednesday']","[20, 11]",False,,Series,The Witcher,https://www.netflix.com/title/the-witcher,0,97,494.42,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
625963,Premium,Mobile,Samsung Galaxy S23,6169 Main St,New York,AZ,15881,9,25,35.9,"['Monday', 'Thursday', 'Sunday', 'Tuesday', 'Wednesday', 'Saturday']",[2],False,,Movie,Enola Holmes,https://www.netflix.com/title/enola-holmes,1,14,151.61,Not Eligible,Eligible for $10 Bundle Savings,Not Eligible,Not Eligible,Eligible for Exclusive Netflix Content Access,Not Eligible,Not Eligible,Eligible to Gift 3-Month Netflix Subscription,Not Eligible,Not Eligible
822694,Premium,Setup Box,Verizon VMS4100,4540 Main St,Houston,CA,45530,29,26,98.01,"['Wednesday', 'Friday', 'Thursday', 'Monday']",[9],True,Discounted Subscription,Live Event,Concert Live Stream: BTS,https://www.netflix.com/title/concert-live-stream%3A-bts,0,5,488.15,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible,Not Eligible
931403,Standard with Ads,Wi-Fi Router,Verizon 5G Home Router,4712 Main St,Los Angeles,NY,35353,26,29,51.47,"['Sunday', 'Wednesday', 'Friday', 'Saturday', 'Thursday']","[0, 3]",True,Unlimited Data Streaming,Live Event,Golden Globe Awards,https://www.netflix.com/title/golden-globe-awards,1,27,349.03,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Not Eligible,Not Eligible,Eligible for Exclusive Netflix Content Access,Eligible for First Month Free on Premium,Eligible for 50% Off for 6 Months,Eligible to Gift 3-Month Netflix Subscription,Eligible for 30% Student Discount,Eligible for Unlimited Weekend Streaming
353369,Standard with Ads,Mobile,Google Pixel 7,3950 Main St,Houston,CA,74273,9,21,60.54,"['Thursday', 'Friday', 'Monday']","[2, 9, 10, 8]",False,,Movie,The Irishman,https://www.netflix.com/title/the-irishman,1,3,496.98,Eligible for 20% Discount on Premium Upgrade,Eligible for $10 Bundle Savings,Not Eligible,Not Eligible,Eligible for Exclusive Netflix Content Access,Eligible for First Month Free on Premium,Eligible for 50% Off for 6 Months,Eligible to Gift 3-Month Netflix Subscription,Eligible for 30% Student Discount,Not Eligible
